team.name,player.name,game_state,matches,events,passes,progressive_passes,completed_progressive_passes,progressive_distance,shots,xg,progressive_pass_completion_rate,xg_per_shot
Argentina,Alejandro Darío Gómez,drawing,2,82,19,2,2,44.5,1,0.011147,1.0,0.011
Argentina,Alejandro Darío Gómez,leading,2,137,36,8,5,188.4,1,0.011925,0.625,0.012
Argentina,Alejandro Darío Gómez,trailing,1,11,3,0,0,0.0,0,0.0,,
Argentina,Alexis Mac Allister,drawing,6,581,157,29,25,461.3,3,0.151348,0.862,0.05
Argentina,Alexis Mac Allister,leading,6,459,114,18,13,357.7,4,0.350491,0.722,0.088
Argentina,Cristian Gabriel Romero,drawing,6,468,161,60,47,1282.0,0,0.0,0.783,
Argentina,Cristian Gabriel Romero,leading,7,632,204,63,47,1295.9,0,0.0,0.746,
Argentina,Cristian Gabriel Romero,trailing,1,20,7,2,2,33.4,0,0.0,1.0,
Argentina,Damián Emiliano Martínez,drawing,7,195,72,43,30,1375.5,0,0.0,0.698,
Argentina,Damián Emiliano Martínez,leading,7,265,106,74,26,4343.0,0,0.0,0.351,
Argentina,Damián Emiliano Martínez,trailing,1,21,8,5,5,126.9,0,0.0,1.0,
Argentina,Enzo Fernandez,drawing,6,756,229,68,50,1341.6,6,0.937042,0.735,0.156
Argentina,Enzo Fernandez,leading,6,663,203,45,31,833.4,2,0.076654,0.689,0.038
Argentina,Enzo Fernandez,trailing,1,122,38,14,11,318.8,1,0.036932,0.786,0.037
Argentina,Exequiel Alejandro Palacios,leading,3,119,28,6,3,148.5,1,0.046686,0.5,0.047
Argentina,Germán Alejandro Pezzella,drawing,2,80,28,10,10,143.5,1,0.044524,1.0,0.045
Argentina,Germán Alejandro Pezzella,leading,2,61,21,8,6,188.0,0,0.0,0.75,
Argentina,Gonzalo Ariel Montiel,drawing,3,253,77,13,10,232.7,3,1.587604,0.769,0.529
Argentina,Gonzalo Ariel Montiel,leading,2,21,5,1,1,20.5,0,0.0,1.0,
Argentina,Guido Rodríguez,drawing,1,181,62,26,20,452.2,0,0.0,0.769,
Argentina,Juan Marcos Foyth,leading,1,15,4,2,1,26.9,0,0.0,0.5,
Argentina,Julián Álvarez,drawing,5,247,51,3,1,44.9,3,0.377399,0.333,0.126
Argentina,Julián Álvarez,leading,6,375,65,9,4,222.9,7,1.469539,0.444,0.21
Argentina,Julián Álvarez,trailing,1,36,8,2,0,29.7,1,0.06139,0.0,0.061
Argentina,Lautaro Javier Martínez,drawing,4,144,24,2,0,26.2,8,1.811987,0.0,0.226
Argentina,Lautaro Javier Martínez,leading,5,160,32,4,2,75.5,6,1.015883,0.5,0.169
Argentina,Lautaro Javier Martínez,trailing,1,39,7,0,0,0.0,1,0.077177,,0.077
Argentina,Leandro Daniel Paredes,drawing,4,274,90,27,24,556.1,2,1.567,0.889,0.784
Argentina,Leandro Daniel Paredes,leading,5,445,145,42,36,846.7,1,0.014371,0.857,0.014
Argentina,Leandro Daniel Paredes,trailing,1,19,5,1,1,12.0,0,0.0,1.0,
Argentina,Lionel Andrés Messi Cuccittini,drawing,7,689,174,49,40,956.0,18,5.797577,0.816,0.322
Argentina,Lionel Andrés Messi Cuccittini,leading,7,781,176,52,40,1063.6,14,1.666731,0.769,0.119
Argentina,Lionel Andrés Messi Cuccittini,trailing,1,83,21,11,9,214.8,2,0.134342,0.818,0.067
Argentina,Lisandro Martínez,drawing,2,237,79,30,21,677.4,0,0.0,0.7,
Argentina,Lisandro Martínez,leading,4,138,43,23,18,629.0,0,0.0,0.783,
Argentina,Lisandro Martínez,trailing,1,95,32,7,6,133.7,1,0.331561,0.857,0.332
Argentina,Marcos Javier Acuña,drawing,5,435,134,31,22,668.6,2,0.076122,0.71,0.038
Argentina,Marcos Javier Acuña,leading,5,251,60,18,7,336.5,0,0.0,0.389,
Argentina,Marcos Javier Acuña,trailing,1,50,23,4,2,100.0,0,0.0,0.5,
Argentina,Nahuel Molina Lucero,drawing,7,446,146,36,29,639.9,1,0.434423,0.806,0.434
Argentina,Nahuel Molina Lucero,leading,7,541,186,51,34,964.1,1,0.050897,0.667,0.051
